id,name,vibe_tags
1,Sree Padmanabhaswamy Temple,"Spiritual, Strict, Golden, History, Ancient Architecture, Royal, Devotional, Traditional, Heritage, Majestic, Iconic, Sacred, Vedic, Religious, Cultural"
2,Napier Museum,"Art, History, Architecture, Quiet, Indo-Saracenic, Educational, Cultural, Artistic, Indo-Gothic, Sophisticated, Academic, Aesthetic, Heritage, Victorian, Manicured"
3,Thiruvananthapuram Zoo,"Nature, Family, Wildlife, Shady, Greenery, Recreational, Educational, Outdoors, Animal-lovers, Jungle-vibes, Conservation, Leisure, Tropical, Scenic, Botanical"
4,Kuthira Malika,"Royal, Woodwork, History, Intricate, Palace, Traditional, Quiet, Heritage, Artistic, Craftsmanship, Travancore, Architectural, Antique, Historic, Cultural"
5,Attukal Bhagavathy Temple,"Devotional, Women-centric, Powerful, Spiritual, Traditional, Festive, Cultural, Ritualistic, Goddess-energy, Sacred, Popular, Vibrant, Local, Religious, Community"
6,Azhimala Shiva Temple,"Majestic, Sea-side, Statue, Sunset, Spiritual, Scenic, Coastal, Photography, Ocean-view, Grand, Spiritual-awakening, Serene, Clifftop, Temple-architecture, Blue"
7,Vizhinjam Lighthouse,"Viewpoint, Coastal, Photography, Iconic, Panoramic, Windy, Maritime, Height, Nautical, Exploration, Sightseeing, Landmark, Scenic-overlook, Ocean-breeze, Blue"
8,Magic Planet,"Family, Fun, Entertainment, Science, Performance, Interactive, Educational, Lively, Illusion, Child-friendly, Stage-shows, Wonder, Creative, Thrilling, Activity"
9,Shangumugham Beach,"Sunset, Sea-breeze, Relaxed, Giant Statue, Coastal, Evening-walk, Public-space, Local-hangout, Art-installations, Sculpture, Open-air, Social, Sea-shore, Leisure"
10,Veli Tourist Village,"Waterfront, Boating, Art, Family, Scenic, Picnic-spot, Creative, Garden, Sculpture-park, Lagoons, Estuary, Playful, Photography, Recreational, Natural"
11,Lighthouse Beach,"Iconic, Surfing, Lighthouse, Touristy, Vibrant, Coastal, Nightlife, Active, Beach-culture, Travel-hub, International, Swimming, Sunny, Tropical, Energetic"
12,Chalai Bazaar,"Bustling, Shopping, Street-food, Authentic, Local-life, Crowded, Commercial, Traditional, Chaos, Spices, Textiles, Marketplace, Sensory, Historical, Trade"
13,Kanakakunnu Palace,"Cultural, Green, Royal, Evening-walk, Event-space, Heritage, Serene, Open-air, Public-park, Architecture, Social-gathering, Historical, Landscaped, Relaxing"
14,Priyadarshini Planetarium,"Educational, Space, Family, Indoor, Science, Futuristic, Astronomy, Cosmic, Visual, Tech-forward, Galaxy, Learning, Dome-theater, Science-center, Intellectual"
15,Akkulam Tourist Village,"Boating, Lake-side, Kids, Adventure, Nature, Family, Picnic, Relaxing, Water-sports, Waterfront, Park, Rejuvenating, Quiet, Green, Fun"
16,Pazhavangadi Ganapathi,"Ganesha, Tradition, Coconut-breaking, Spiritual, Central, Quick-visit, Devotional, Rituals, Sacred, Religious, City-vibe, Efficient, Traditional, Spiritual-center"
17,Villa Maya,"Fine-dining, Heritage, Romantic, Upscale, Gourmet, Architectural, Luxury, Quiet, Intimate, Historic, Colonial, Culinary, Elegant, Exclusive, Ambiance"
18,Indian Coffee House,"Retro, Iconic, Architecture, Budget-eats, Nostalgic, Intellectual, Red-brick, Spiral-building, Historical, Socialist-era, Classic, Local-favorite, Simple, Unique"
19,Poovar Island,"Backwaters, Mangroves, Floating-restaurant, Nature, Romantic, Peaceful, Exotic, Boat-ride, Coastal, Scenic, Tranquil, Remote, Luxury-stay, River-meets-sea"
20,Neyyar Dam,"Dam, Crocodile-park, Lion-safari, Picnic, Nature, Wildlife, Adventure, Scenic, Mountains, Reservoir, Forest, Hiking, Environmental, Escape, Outdoors"
21,Ponmudi Hills,"Mist, Tea-gardens, Trekking, Scenic-drive, Hilltop, Cold, Serene, Nature-escape, High-altitude, Foggy, Greenery, Landscapes, Winding-roads, Panorama, Refreshing"
22,Sri Chitra Art Gallery,"Ravi Varma, Paintings, History, Quiet, Artistic, Cultural, Fine-art, Sophisticated, Visual-heritage, Silent, Academic, Heritage, Classic, Gallery, Thoughtful"
23,Vizhinjam Rock Cut Cave,"Ancient, Sculpture, Archaeological, Heritage, Historical, Small, Quiet, Cave-temple, Religious-history, Art-history, Offbeat, Granite, Craft, Spiritual"
24,Zam Zam (Palayam),"Shawarma, Local-favorite, Lively, Halal, Foodie, Fast-paced, Popular, Middle-Eastern, Spicy, Casual-dining, Vibrant, Urban, Street-food, Delicious"
25,Madavoorpara,"Cave-temple, Bamboo-bridge, Viewpoint, Hidden-gem, Trekking, Peaceful, Offbeat, Nature, Scenic, Ancient, Panoramic, Spiritual, Rural, Adventure, Serene"
26,Cafe Sarwaa,"Cozy, Gifts, Garden-cafe, Peaceful, Boutique, Aesthetic, Relaxing, Greenery, Artistic, Quiet-corner, Social, Creative, Leafy, Charming, Brunch"
27,Connemara Market,"Flowers, Local-life, Raw-energy, Authentic, Bustling, Market-culture, Sensory, Vibrant, Daily-life, Fragrant, Crowded, Local-produce, Traditional, Historic"
28,Puthenthope Beach,"Secluded, Clean, Local, Sunset, Peaceful, Quiet, Untouched, Relaxing, Private, Calm, Sea-side, Nature, Coastal, Unexplored, Minimalist"
29,Beemapally Mosque,"Architecture, Spiritual, Massive, Pink, Religious, Cultural, Landmark, Peaceful, Community, Sacred, Vibrant-history, Spiritual-center, Iconic-view"
30,Museum of History,"Hi-tech, Interactive, State-history, Educational, Modern, Heritage, Insightful, Multimedia, Learning, Comprehensive, Visual, Curated, Knowledge, Cultural"
31,Terumo Penpol Viewpoint,"Hilltop, Mist, Quiet, Sunrise, Scenic, Serene, Photography, Panoramic, Hidden, Nature, Landscape, Fresh-air, Morning-vibes, Overlook, Peace"
32,Mankayam Waterfalls,"Forest, Trekking, Water, Adventure, Nature, Remote, Refreshing, Natural-pool, Jungle, Hiking, Ecological, Escape, Raw-nature, Pristine, Wild"
33,Eve’s Beach,"Moonlight, Swimming, Vibrant, Coastal, Active, Tourism, Sea-side, Waves, Sunset-spot, Social, Nightlife, Travel, Sunny, Sandy, Holiday"
34,Mothers Veg Plaza,"Sadya, Authentic, Bustling, Lunch-spot, Traditional, Local-favorite, Vegetarian, Culinary, Kerala-style, Quick-service, Crowded, Flavorful, Iconic, Foodie"
35,O by Tamara,"Modern, Luxury, Rooftop, View, Social, Upscale, Lifestyle, Evening-vibe, Cocktail, Corporate, Lounge, High-end, City-lights, Sophisticated, Chic"
36,Karikkakom Devi Temple,"Ancient, Peaceful, Nature-surroundings, Spiritual, Greenery, Traditional, Devotional, Calm, Sacred, Religious, Landscape, Cultural, Local, Quiet"
37,Science & Tech Museum,"Kids, Interactive, Educational, Indoor, Science, Learning, Family, Activity, Physics, Astronomy, Innovation, School-trip, Gadgets, Mind-bending"
38,Good Morning Tea Shop,"Morning-ritual, Local, Tea, Breakfast, Social, Authentic, Early-hours, Street-side, Simple, Fast, Daily-life, Traditional, Community, Budget"
39,Magic Academy,"Performance, Magic, Art, Unique, Educational, Entertainment, Creative, Skill, Visual, Wonder, Stage, Training, Community, Artistic-expression"
40,Anchuthengu Fort,"Coastal, History, British-era, Scenic, Heritage, Fortification, Sea-view, Colonial, Archaeological, Windy, Historical-site, Explore, Photography"
41,Ariya Nivaas,"Vegetarian, South-Indian, Budget, Family, Pure-veg, Thali, Dosa, Filter-coffee, Clean, Reliable, Station-side, Quick-service, Traditional, Affordable, Repeat-favorite"
42,Azad Restaurant,"Biryani, Travancore-style, Non-veg, Iconic, Mutton, Overbridge, Spacious, Two-floors, Local-institution, Flavorful, Value, Crowded, Lunch-rush, Classic, Beef-fry"
43,Hotel Rahmaniya,"Chicken-fry, Old-school, Local-favorite, Queue, Kethel, Minimal-spice, Fresh-chicken, Malabar, Heritage-eatery, Coconut-oil, No-frills, Authentic, Palayam, Legendary, Crowded"
44,Kalavara Restaurant,"Rooftop, Multicuisine, Family, Lively, Chinese, Open-air, Evening-vibe, Group-friendly, City-view, Casual, Tandoori, Variety, Social, Spacious, Buzzing"
45,The Yellow Chilli,"North-Indian, Sanjeev-Kapoor, Upscale, Tandoor, Curries, Family-dining, Celebrity-chef, Murg, Refined, Butter-naan, AC, Date-spot, Rich-gravies, Polished, Contemporary"
46,Buhari Hotel,"Biryani, Mughlai, Heritage, Casual, Fort, Affordable, Kerala, North-Indian, Old-name, Busy, Value-meals, Local, Fast, Traditional, Reliable"
47,Coconut Grove,"Seafood, Beach-side, Fresh-catch, Tandoori, Kovalam, Fish, Prawns, Sea-view, Touristy, Grilled, Continental, Relaxed, Holiday, Sunset-dining, Catch-of-the-day"
48,Hotel Aryaas Park,"Vegetarian, Thali, Clean, Affordable, South-Indian, North-Indian, Chinese, Hygienic, Parking, Filter-coffee, Quick, Family, Thampanoor, Trusted, Pure-veg"
49,Hotel Saravana Bhavan,"Vegetarian, Dosa, Hygienic, Reliable, South-Indian, Idli, Chain, Consistent, Family, Clean, Service, Affordable, Tiffin, Coffee, Trusted-name"
50,Bait Al Mandi,"Mandi, Arabian, Generous-portions, Techie-spot, Kuzhi-mandi, Middle-Eastern, Shawarma, Kabsa, Kazhakootam, Hummus, Group-feast, Technopark, Authentic, Flavorful, Value"
51,The German Bakery,"Beach-view, Bakery, Continental, Seafood, Kovalam, Lighthouse, Desserts, Thai, Pizza, Tourist-favorite, Sunset, Relaxed, Backpacker, German-sausage, Scenic"
52,Karim's,"Mughlai, Kebab, Old-Delhi-legacy, Mall, Seekh-kabab, Mutton-burra, Lulu, Authentic, Rich, Royal-cuisine, Chandni-chowk, AC, Family, Indulgent, Heritage-brand"
53,Halais Dum Biryani,"Kuzhi-mandi, Arabian, Biryani, Grilled, Dum, Al-faham, Mandi, Affordable, Home-delivery, Authentic-style, Palayam, Techpark, Spicy, Hearty, Popular"
54,Oasis Ice Cream Parlour,"Ice-cream, Dessert, Puttu-icecream, Sweet-tooth, Shakes, Juices, Sasthamangalam, Family, Evening-treat, Indira-Bhavan, Fruity, Indulgent, Cool, Local-favorite, Fun"
55,Ma Cafe,"Burgers, Hangout, Youthful, Late-night, Sandwiches, Wraps, Mojito, Milkshake, Vellayambalam, Cozy, Trendy, Fast-food, Friendly, Instagrammable, Casual"
56,Koyikkal Palace,"Venad-palace, Folklore, Numismatics, Heritage, 17th-century, Coins, Musical-instruments, Traditional-architecture, Museum, Nedumangad, Quiet, History, Royal, Educational, Cultural"
57,CVN Kalari Sangham,"Kalaripayattu, Martial-arts, Cultural, Ancient, Performance, Gurukkal, Tradition, Combat, Discipline, Marma, Ayurveda, East-Fort, Demonstration, Heritage, Unique"
58,Vellayani Lake,"Freshwater-lake, Boating, Sunset, Lotus, Largest-in-Kerala, Backwaters, Coconut-palms, Morning-walk, Paddle-boat, Serene, Birdlife, Scenic, Nature, Photography, Peaceful"
59,Aruvikkara Dam,"Dam, River, Fish-feeding, Picnic, Karamana-river, Durga-temple, Family, Park, Reservoir, Greenery, Weekend, Calm, Nature, Rock-cut-temple, Relaxing"
60,Valiyathura Pier,"Sea-bridge, Sunset, Fishermen, Historic, WWII-era, Arabian-sea, Coastal, Photography, Offbeat, Local-hangout, Pier, Waves, Evening, Hidden-gem, Atmospheric"
61,Thiruvallam Parasurama Temple,"Backwaters, Canoeing, Parasurama, Riverside, Triveni-sangamam, Ancestral-rites, Kayaking, Tranquil, Pandyan-era, Sacred, Confluence, Nature, Spiritual, Houseboat, Serene"
62,Peppara Wildlife Sanctuary,"Wildlife, Forest, Reservoir, Birding, Western-Ghats, Elephants, Trekking, Nature, Eco-tourism, Karamana, Biodiversity, Day-trip, Remote, Green, Adventure"
63,Kallar Meenmutty Falls,"Waterfall, Trek, Rock-pools, Forest, Kallar-river, Swimming, Boulders, Nature, Ponmudi-route, Adventure, Cascade, Cool-water, Scenic, Day-out, Refreshing"
64,Varkala Papanasam Beach,"Cliff, Sunset, Sacred, Cafes, Red-laterite, Arabian-sea, Yoga, Ayurveda, North-cliff, Holy-dip, Backpacker, Scenic, Beach-town, Photography, Iconic"
65,Kowdiar Palace,"Royal-residence, Architecture, Landmark, Gate-view, Travancore, 1934, Heritage, European-Kerala-fusion, Grand, Central, Photogenic, Historic, Regal, Iconic, Cultural"